case_number,date,time,primary_type,description,act_type,lat,lng,StationID
HV236739,2012-04-10,10:20:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,PROHIBITION ACT (STATE),28.56691945,76.86945712,-1
HV237036,2012-02-29,12:00:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56706177,76.86896067,-1
HV292576,2012-05-18,5:35:00 PM,ARMS/EXPLOSIVE - RELATED ACTS,,THE ARMS ACT,28.57278927,76.87041598,-1
HV123900,2012-01-03,9:00:00 AM,THE GAMBLING ACT,,THE GAMBLING ACT,28.5666755,76.86894994,-1
HV382449,2012-07-14,11:15:00 AM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,THE EXCISE ACT,28.56634876,76.86901532,-1
HV157490,2012-02-14,11:06:00 AM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,PROHIBITION ACT (STATE),28.57444185,76.8673636,-1
HV247423,2012-04-17,2:10:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56660432,76.86896702,-1
HV163559,2012-02-18,4:30:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.5730784,76.87098431,-1
HV409919,2012-08-01,2:02:00 AM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56674598,76.86909839,-1
HV354480,2012-06-26,7:30:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,THE EXCISE ACT,28.56694671,76.86900935,-1
HV387108,2012-07-17,7:30:00 AM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56668981,76.8690419,-1
HV220232,2012-03-29,8:15:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,PROHIBITION ACT (STATE),28.56724614,76.86895924,-1
HV137327,2012-01-29,7:11:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,PROHIBITION ACT (STATE),28.57341815,76.86370985,-1
HV299592,2012-05-23,1:55:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,PROHIBITION ACT (STATE),28.56700478,76.86894776,-1
HV452155,2012-08-29,12:30:00 PM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56710091,76.86901255,-1
HV509498,2012-10-08,2:25:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,THE NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,28.56716091,76.86979805,-1
HV443369,2012-08-23,2:32:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,THE EXCISE ACT,28.56661971,76.86889519,-1
HV116967,2012-01-13,8:10:00 PM,ASSAULT,,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,28.56705716,76.86905785,-1
HV140910,2012-02-01,12:15:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,ROBBERY,28.56689752,76.86939239,-1
HV141664,2012-02-01,8:28:00 PM,THE GAMBLING ACT,,THE GAMBLING ACT,28.56696948,76.86947943,-1
HV516072,2012-10-13,2:00:00 AM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56704943,76.86967116,-1
HV333980,2012-06-14,8:30:00 AM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56691211,76.86897759,-1
HV205202,2012-03-19,5:55:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56679412,76.86904865,-1
HV257251,2012-04-25,8:50:00 AM,ABDUCTION OR KIDNAPPING,,KIDNAPPING AND ABDUCTION OF WOMEN TO COMPEL HER FOR MARRIAGE,28.56654048,76.8690533,-1
,,,,,,28.56656662,76.86893416,
,,,,,,28.5666757,76.86902118,
,,,,,,28.56186619,76.86420432,
